gap_id,source_id,gap_type,description,evidence_path,expected_drop_dir,status,opened_at,resolved_by
GAP-001,donaciones_pr,dataset_absent,"Donaciones_20260320.csv (4,686 CEE campaign-donation rows) was placed in data/raw/Donaciones/ on the operator machine (2026-07-09 pass) but never git-tracked (.gitignore allow-list excludes it); absent in this clone.",reports/current_status.json,data/raw/Donaciones/,open,2026-07-11T18:33:14+00:00,
GAP-002,pr_cabilderos,dataset_absent,"pr_cabilderos_roster_2025-03-26.csv (1,175 lobbyist-client rows) and pr_cabilderos_certifications_only.csv (23 rows) built on the operator machine but never git-tracked; the authoritative 81-page Registro_de_cabilderos_Abril_18_2026_2.pdf also remains unprocessed.",reports/current_status.json,data/raw/Cabilderos/,open,2026-07-11T18:33:14+00:00,
GAP-003,cor3,dataset_absent,COR3 (recovery.pr.gov) xlsx exports held outside the repo; the latest committed cor3 per-source manifest records row_count 0 (empty_or_header_only).,data/manifests/cor3/,data/raw/COR3/,open,2026-07-11T18:33:14+00:00,
GAP-004,ocpr_contracts,dataset_absent,OCPR consultacontratos contract-registry xlsx snapshot held outside the repo; scripts/ingest_ocpr_contracts.py dropzone is empty/nonexistent.,scripts/ingest_ocpr_contracts.py,data/raw/OCPR_Contracts/,open,2026-07-11T18:33:14+00:00,
GAP-005,oficina_contralor,dataset_absent,Oficina del Contralor audit-report exports held outside the repo; scripts/ingest_contralor.py dropzone is empty/nonexistent.,scripts/ingest_contralor.py,data/raw/Oficina del Contralor/,open,2026-07-11T18:33:14+00:00,
GAP-006,fpds_report_builder,dataset_absent,FPDS Report Builder FY2020-FY2024 xlsx exports (and the Jul-5 pr_report_builder_master.csv) held outside the repo; scripts/ingest_report_builder.py finds no inputs in this clone.,scripts/ingest_report_builder.py,data/raw/FPDS_Report_Builder/,open,2026-07-11T18:33:14+00:00,
GAP-007,sam_entities,dataset_absent,SAM.gov public monthly extracts (~1.1 GB SAM_PUBLIC_MONTHLY_V2_*.dat) held outside the repo; scripts/ingest_sam_bulk.py DAT_SEARCH_DIRS (data/raw/sam) is empty/nonexistent.,scripts/ingest_sam_bulk.py,data/raw/sam/,open,2026-07-11T18:33:14+00:00,
GAP-008,usaspending_prime,dataset_absent,USAspending 2026-07-07 PR slice exports (and a ~175MB bulk-award-export archive cataloged 2026-07-09) held outside the repo; not ingested and not deduplicated against the committed masters.,reports/current_status.json,data/raw/USAspending_Slices/,open,2026-07-11T18:33:14+00:00,
GAP-009,act_transition_contracts,acquired_not_ingested,Committed extract data/raw/act_transition/transition_contracts_extracted.csv (656 ACT_2020 rows before dedupe) is present but not materialized in this clone; declared intake paths (data/manual/act_transition/) do not exist.,data/raw/act_transition/transition_contracts_extracted.csv,data/raw/act_transition/,resolved,2026-07-11T18:33:14+00:00,wave2a
GAP-010,acuden_2024_transition,acquired_not_ingested,"Committed extract holds 1,147 ACUDEN_2024 rows (before dedupe) not materialized in this clone; declared intake paths (data/manual/acuden_2024/) do not exist.",data/raw/act_transition/transition_contracts_extracted.csv,data/raw/act_transition/,resolved,2026-07-11T18:33:14+00:00,wave2a
GAP-011,,orphan_output,"pr_grants_master.csv rows on the operator disk are claimed by no registry source (orphan_rows 104,280 per the 2026-06-17 committed coverage audit); registry must either claim or explicitly derive them.",reports/materialization_coverage_audit.json,,open,2026-07-11T18:33:14+00:00,
GAP-012,,count_drift,federation.json source_truth says 143 total / 98 automatable while the live registry and reports/materialization_readiness.json say 144 / 99.,federation.json,,resolved,2026-07-11T18:33:14+00:00,phase1a
GAP-013,,count_drift,reports/federation_source_status_reconciliation.json says 141 total / 95 automatable / 46 queued (manual_export 39) vs live 144 / 99 / 45 (manual_export 38).,reports/federation_source_status_reconciliation.json,,resolved,2026-07-11T18:33:14+00:00,phase1a
GAP-014,,count_drift,reports/current_status.json materialization_readiness_truth block says 136 total sources while source_registry_current in the same file says 144.,reports/current_status.json,,resolved,2026-07-11T18:33:14+00:00,phase1a
GAP-015,act_transition_contracts,intake_path_dead,manual_drop_dir data/manual/act_transition/ and data/manual/acuden_2024/ (source_registry + manual_export_registry) do not exist; actual acquired files live under data/raw/act_transition/ and data/raw/Vigentes al Momento de Transición/.,registries/source_registry.yaml,data/raw/act_transition/,resolved,2026-07-11T18:33:14+00:00,wave2a
GAP-016,,code_defect,moneysweep/update_controller/policy.py _manual_export_ids reads keys sources|manual_sources|entries but manual_export_registry.json's real key is manual_exports — manual-export policy inference is silently empty.,moneysweep/update_controller/policy.py,,resolved,2026-07-11T18:33:14+00:00,wave2b
GAP-017,,phantom_dropzones,scripts/source_intake_tranche_b.py SOURCE_SPECS point at dropzones that match nothing on disk and disagree with manual_export_registry (e.g. data/raw/ACT Transition Contracts).,scripts/source_intake_tranche_b.py,,resolved,2026-07-11T18:33:14+00:00,wave2b
GAP-018,,stale_docs,docs/MATERIALIZATION_RUNBOOK.md quotes 124 total / 68 automatable / 56 queued — a frozen snapshot several registry generations old (live: 144 / 99 / 45).,docs/MATERIALIZATION_RUNBOOK.md,,resolved,2026-07-11T18:33:14+00:00,phase1a
GAP-019,,nonreproducible_artifact,reports/materialization_coverage_audit.json was generated 2026-06-17 against root /Users/jotaele/Developer/Contract-Sweeper — an operator machine path — so its local-truth layer cannot be reproduced from this repo.,reports/materialization_coverage_audit.json,,open,2026-07-11T18:33:14+00:00,
