target_source_id,target_agency,jurisdiction,record_type,statute,priority,rationale,request_status,tracking_state,residual_gap,resolution_evidence
hud_drgr_authorized,U.S. Department of Housing and Urban Development,US,CDBG-DR grantee drawdown and DRGR activity records,5 U.S.C. 552 (FOIA),P0,Required source not materialized; credentialed DRGR portal export is unavailable in-sandbox — request the authorized grantee drawdown dataset.,submitted,OPEN,,
prasa,Puerto Rico Aqueduct and Sewer Authority (PRASA),PR,Procurement and contract award records,PR Ley 141-2019,P0,Required source not materialized; PRASA delivers exported procurement files only via dropzone — request the procurement/contract registry directly.,submitted,OPEN,,
oficina_contralor,Office of the Comptroller of Puerto Rico (OCPR),PR,Audit reports findings and contract registry,PR Ley 141-2019,P0,OCPR audit reports are materialized but the separately operated consultacontratos contract registry remains outside the snapshot.,submitted,OPEN,consultacontratos.ocpr.gov.pr contract registry is not represented by the materialized audit-report snapshot.,
cor3,PR Central Office for Recovery Reconstruction and Resiliency (COR3),PR,Disaster-recovery project tracker dataset,PR Ley 141-2019,P0,The requested project-tracker target is now materialized through an alternate acquisition path; preserve the submitted request as historical activity.,submitted,SUPERSEDED,,data/manifests/cor3/20260901T015748Z.json
fsrs_subawards,U.S. General Services Administration (FSRS),US,FSRS prime-to-subaward reporting extract,5 U.S.C. 552 (FOIA),P0,The submitted FSRS request is preserved after its target became materialized through an alternate acquisition path.,submitted,SUPERSEDED,,data/manifests/fsrs_subawards/20260703T131305Z.json
sam_entities,U.S. General Services Administration (SAM.gov),US,SAM entity registration and UEI parent-hierarchy extract,5 U.S.C. 552 (FOIA),P0,The submitted SAM entity request is preserved after its target became materialized through an alternate acquisition path.,submitted,SUPERSEDED,,data/manifests/sam_entities/20260703T131305Z.json
pr_cabilderos,Puerto Rico Office of Government Ethics (OEG),PR,Registered lobbyist (cabildero) filings,PR Ley 141-2019,P1,The requested registry is now materialized through an operator-delivered alternate acquisition path; preserve the submitted request as historical activity.,submitted,SUPERSEDED,,data/manifests/pr_cabilderos/20260901T015748Z.json
donaciones_pr,Puerto Rico State Elections Commission (CEE),PR,Campaign and political donation registry,PR Ley 141-2019,P1,The requested donation registry is now materialized through an operator-delivered alternate acquisition path; preserve the submitted request as historical activity.,submitted,SUPERSEDED,,data/manifests/donaciones_pr/20260901T015748Z.json
compras_pr,Puerto Rico General Services Administration (compras.pr.gov),PR,RFP and contract award notices,PR Ley 141-2019,P1,Source not materialized; comprashpr.com scrape is incomplete — request bulk RFP/award notice records.,submitted,OPEN,,
act_toll_revenue,Autoridad de Carreteras y Transportacion (ACT),PR,Toll revenue by plaza and fiscal year (AutoExpreso and Metropistas PR-22/PR-5),PR Ley 141-2019,P1,Only aggregate published toll revenue is available; request finer per-plaza/per-route breakdowns to attribute infrastructure income.,submitted,OPEN,,
transit_fare_revenue,Autoridad Metropolitana de Autobuses (AMA),PR,Farebox revenue by route and fiscal year for AMA buses and Tren Urbano (ATI),PR Ley 141-2019,P2,Aggregate farebox figures only; request route-level fare revenue to localize transit income.,submitted,OPEN,,
ports_airports_revenue,Autoridad de los Puertos de Puerto Rico,PR,Wharfage landing and concession fee revenue by facility and fiscal year,PR Ley 141-2019,P2,Aggregate port/airport fee revenue only; request facility-level fee schedules and revenue.,submitted,OPEN,,
prasa_rate_revenue,Autoridad de Acueductos y Alcantarillados (PRASA),PR,Water and sewer rate revenue and approved tariff schedules by fiscal year,PR Ley 141-2019,P2,Aggregate rate revenue only; request the tariff schedule and revenue-by-class breakdown.,submitted,OPEN,,
prepa_luma_rate_revenue,Autoridad de Energia Electrica (PREPA) / LUMA Energy,PR,Electric rate revenue and approved tariff schedules by fiscal year,PR Ley 141-2019,P2,Aggregate power rate revenue only; request rate-case revenue requirements and revenue-by-class breakdown.,submitted,OPEN,,
dtop_road_contracts,Departamento de Transportacion y Obras Publicas (DTOP/ACT),PR,Road construction and maintenance contract registry (rolling),PR Ley 141-2019,P1,Only the 2020 transition snapshot is on hand; request the rolling DTOP/ACT permanent-road contract registry (OCPR code 032).,submitted,OPEN,,
ports_airports_contracts,Autoridad de los Puertos de Puerto Rico,PR,Port and airport construction and operating contract registry,PR Ley 141-2019,P2,No rolling ports/airports contract source; request the full contract and capital-project registry.,submitted,OPEN,,
transit_contracts,Autoridad Metropolitana de Autobuses (AMA),PR,Bus and urban-rail operating and O&M contract registry,PR Ley 141-2019,P2,No transit operating-contract source; request AMA and Tren Urbano (ATI) operator and O&M contracts.,submitted,OPEN,,
