source_id,family,financial_domain,is_financial,is_political,required,audit_status,automatable,producer_importable,producer_script,needs,remediation_step,blocker
highergov_supplemental,federal,federal_awards,True,False,False,wired_materializing,True,True,scripts/fetch_highergov_api.py,none,Producing output on disk now; keep on its update cadence.,
usaspending_subawards,federal,federal_awards,True,False,True,wired_materializing,True,True,scripts/download_subawards.py,none,Producing output on disk now; keep on its update cadence.,
act_transition_contracts,manual_export,manual_financial,True,False,False,wired_offline_ready,False,True,scripts/ingest_act_transition.py,run_offline,Committed input present (data/raw/act_transition/transition_contracts_extracted.csv); run `ingest_act_transition.py` to materialize.,run producer to materialize from committed input
acuden_2024_transition,manual_export,manual_financial,True,False,False,wired_offline_ready,False,True,scripts/ingest_act_transition.py,run_offline,Committed input present (data/raw/act_transition/transition_contracts_extracted.csv); run `ingest_act_transition.py` to materialize.,run producer to materialize from committed input
follow_the_money,political_finance,political_finance,True,True,False,wired_offline_ready,False,True,scripts/ingest_follow_the_money.py,run_offline,Committed input present (data/raw/follow_the_money/municipality_political_federal_bridge.csv); run `ingest_follow_the_money.py` to materialize.,run producer to materialize from committed input
emma_bonds,bonds,debt_and_bonds,True,False,True,wired_ready_unmaterialized,True,True,scripts/download_emma.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
msrb_rtrs_trades,bonds,debt_and_bonds,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_msrb_trades.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
chip,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_chip.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
cms_open_payments,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_cms.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
doe_grants,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_doe.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
doj_grants,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_doj_grants.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
dol_whd_osha,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_dol.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
dot_grants,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_dot.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
ed_grants,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_ed.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
epa_grants,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_epa.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
exim_bank,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_exim.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
fcc_usf,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_fcc.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
fdic,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_fdic.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
fema_hmgp,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_fema.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
fema_individual_assistance,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_fema_ia.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
fema_pa_openfema_v2,federal,federal_awards,True,False,True,wired_ready_unmaterialized,True,True,scripts/download_openfema_pa_projects.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
fhlb,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_fhlb.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
gao_ig_audits,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_gao_ig.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
grants_gov,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_grants.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
haf,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_haf.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
hhs_grants,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_hhs.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
hud_cdbg_dr_public,federal,federal_awards,True,False,True,wired_ready_unmaterialized,True,True,scripts/download_cdbg_dr.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
hud_cdbg_mit,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_cdbg_mit.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
hud_hcv_section8,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_hud_hcv.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
lihtc,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_lihtc.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
medicaid_fmap,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_medicaid_fmap.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
medicare_advantage,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_medicare_advantage.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
medicare_parts,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_medicare_parts.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
ncua,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_ncua.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
nfip_claims,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_nfip.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
nih_reporter,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_nih.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
nmtc,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_nmtc.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
nonprofits_irs990,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_nonprofits.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
oia_grants,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_oia.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
opm_fedscope,federal,federal_awards,True,False,False,wired_ready_unmaterialized,True,True,scripts/download_opm_fedscope.py,egress,Run the producer in an egress-enabled environment (sandbox blocks HTTPS with 403).,needs a producer run (network egress)
